identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,pictogrammes,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_idCategorie,pictogrammes_idPicto,pictogrammes_image,pictogrammes_infoBulle,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,page,nro_paginas,images_4
36186,8715700017006,36186,8715700017006,1,570.0,99,Heinz,Ketchup top down,570 g,3.24,5.68,5.68,0.0,0,[],570,570,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F0051DF72DD89785E2C6DCA29709EEB.jpg,,,,1,10,
20366,7622210981141,20366,7622210981141,1,150.0,99,Philadelphia,Queijo creme de ervas finas,Embalagem de 150g,1.86,12.4,12.4,0.0,0,[],150,150,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/387760CE40B92A0462A1AF5F8E61AAE0.jpg,,,,1,10,
8383,5601049132995,8383,5601049132995,1,1000.0,99,Mimosa,Leite uht meio gordo,Embalagem de 1 litro,0.89,0.89,0.89,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30AE72C16512D7F6E9C8B5E7CBD4B0A2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,1,10,
24838,5601164903722,24838,5601164903722,1,7500.0,99,Super Bock,Cerveja Mini,Pack 30 X 0.25 L,12.99,1.73,1.73,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,7500,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21F823289804B326F67E5D90563F901B.jpg,,,,1,10,
13866,2891048000000,13866,2891048000000,500,1000.0,99,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,3.99,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",1000,1000,0,0,True,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,,1,10,
17402,8412600027233,17402,8412600027233,1,700.0,99,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,2.84,0.0,0,[],700,700,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE8CCFFBC376CC9F4596A72F8ABC4CE5.jpg,,,,1,10,
12972,2892040000000,12972,2892040000000,250,1000.0,99,Fruta,Banana,1 un = 200 gr (aprox.),0.99,0.99,0.99,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",1000,1000,0,0,True,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: COSTA RICA,CAT: I,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,1,10,
18595,8410500016012,18595,8410500016012,1,400.0,99,Danonino Danone,"Iogurte líquido danonino morango,  4 x 100 g",,1.99,4.98,4.98,0.0,0,[],400,400,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E203361E14F23CD94ABD0BD721CC32D.jpg,,,,1,10,
19022,5603722509742,19022,5603722509742,1,800.0,99,Agros,Leite com Chocolate,Embalagem de 4 x 200 ml,1.48,1.85,1.85,0.0,0,[],0,0,0,800,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E96016EA2C29977083D2986B4126E1A.jpg,,,,1,10,
4236,3600521519479,4236,3600521519479,1,400.0,99,Elvive,Champô color-vive,Embalagem de 400 ml,3.89,9.73,9.73,0.0,0,[],0,0,0,400,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9488D59592F5790FC0E9B4078309C960.jpg,,,,1,10,
48248,8410104893101,48248,8410104893101,1,,99,Finish,Detergente Máquina Loiça Quantum,54 pastilhas,10.99,10.99,10.99,0.0,0,[],0,0,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,0.0,PU,Pièce unitaire,,€/Unidade,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0F8E82D3F133C5D927DEEEC7CDD44D5.jpg,,,,1,10,
20515,5601096360303,20515,5601096360303,1,750.0,99,Casal Garcia,Sangria,Garrafa de 750 ml,3.29,4.39,4.39,0.0,0,[],0,0,0,750,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2A419587BC37CD68479B6EF2C3DB381.jpg,,,,1,10,
45470,7613036632010,45470,7613036632010,1,648.0,99,Felix,Comida Húmida para Gato Selecção do Campo,pack 6 x 48 g,2.24,3.46,3.46,,0,[],648,648,0,0,True,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",Portugal,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EF1017A44DE419FC10E68A39AA8DC5B7.jpg,,,,1,10,
973,5601024105020,973,5601024105020,1,1000.0,6,Fula,Óleo alimentar,Embalagem 1L,2.02,2.02,2.02,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/82D3E88293E42CC5B178C569AA9B57E6.jpg,,,,1,10,
23206,8410063065991,23206,8410063065991,1,1000.0,99,Pescanova,"Pescada panada em forma de filete, 1 kg",,7.99,7.99,7.99,0.0,0,"[{'idPicto': 69, 'idCategorie': 28, 'libelleCategorie': 'Tipo de stockagem', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8136.png', 'infoBulle': ''}]",1000,1000,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,28.0,69.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8136.png,,Tipo de stockagem,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46AEA5887528069260AF2BFEE22D8706.jpg,,,,1,10,
12230,7613034192264,12230,7613034192264,1,250.0,99,Cerelac,Papa infantil para preparar com leite +6 meses,Embalagem de 250g,1.84,7.36,7.36,0.0,0,[],250,250,0,0,False,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9FAA017CC3BC08A98F0EF54D61B67C5D.jpg,,,,1,10,
16105,5601146703463,16105,5601146703463,1,7500.0,99,Sagres,Cerveja Mini,pack 30 x 0.25 L,13.85,1.85,1.85,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,7500,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A268F7D3CFF6A55F6AD0FB91F4E6512.jpg,,,,1,10,
13865,2891042000000,13865,2891042000000,500,1000.0,99,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.88,4.88,4.88,,0,[],1000,1000,0,0,True,False,"[{'dateFin': '2024-06-12T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-12T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,,1,10,
