identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5,images_6,images_7
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
300,0011210000889,60.0,Tabasco,Molho picante,Garrafa de 60 ml,2.37,39.5,60,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/513E7907BD2D93422664E790FE0A1850.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
319,8414100301141,1000.0,Schweppes,"Água Tónica, emb. 1 lt",Embalagem de 1 l,1.65,1.65,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2AAFBB7AE67B2030674C90B3750F7A2E.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
388,8712566156115,71.0,Knorr,"Sopa de rabo de boi, 70g",,1.6,22.54,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A7D2F019E799AC69E8329E3FE5B92BA.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
392,8712566173860,68.0,Knorr,"Canja com aletria, embalagem de 70g",,1.6,23.53,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0FDE190C3180267DE92D355FE905E718.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
393,8712566173945,72.0,Knorr,"Creme marisco, embalagem de 70g",,1.6,22.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42380F997942E9C34D4500FD929708AF.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
419,8718114882536,50.0,Knorr,"Sopa de cebola, embalagem de 50g",,1.6,32.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/40DE8A4B0CCB6E254052E81CFB00180A.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
452,8888056603862,85.0,Koka,"Massa Instantânea com Sabor a Galinha, emb. 85 gr",,0.69,8.12,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2968A264D894B9BD28BB6D7AD2B2C1C.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
453,8888056604012,85.0,Koka,"Massa instantânea com cogumelos, embalagem de 90g",,0.69,8.12,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/743F0CEC755705C1667F17EADAF83C5D.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
454,8888056604067,85.0,Koka,"Massa instantânea com sabor a camarão, embalagem de 90g",,0.69,8.12,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D2FB050AC0A3AFD73E7D3F6CF3CD2DF9.jpg,,,,,2025-12-31T23:59:59Z,PROSPECTUS,14,1,,,
