identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
1188,5601119007970,200.0,Nobre,"Salsichas de porco, lata de 200g",,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F480FC52D56464F3C1B867155F4A37B9.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15125,2895006000000,150.0,Terra Nostra,Queijo Flamengo em Barra,1 un = 150 gr (aprox.),1.39,9.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF84618CA37316EE2612494B15F423CC.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
25187,8001090371980,,Evax,Pensos higiénicos liberty noite abas,Embalagem com 9 un.,2.79,2.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A7B851A6C9585B69A4599E34A676A85B.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
17114,5000116110148,320.0,Capitão Iglo,"4 hamburguers vaca sem glúten, embalagem de 320g",,4.49,14.03,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F31F98EC751272F860D1F790EE53DF35.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
26455,8006540830840,1250.0,Fairy,Detergente Líquido p/ Lavar Loiça Platinum Original,"Embalagem de 1,25 l",4.99,3.99,1250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F9FB16396CA6333A721D98D1F2F69B67.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
9111,5601989001412,750.0,Monte Velho,"Vinho regional alentejano tinto, garrafa de 0.75 l",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5313E203A06105D1BF7A5AD8308AD864.jpg,,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.8725,13,1
28497,3222270502450,680.0,Purina Gourmet,Comida Húmida para Gato Seleção de Mousses,Embalagem de 680g,4.29,6.31,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48B98515C30D063D1F85A14F56AAE58A.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
2466,7613032142599,500.0,Cerelac,Farinha láctea 12 meses,Embalagem de 500g,4.79,9.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E708CAF1A60A052407E76B7A92102F7.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
30414,4015400917304,480.0,Fairy,Detergente Liquido Loiça Original,480 ml,2.54,5.29,480,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BDA62A6B9333A70897E09AEAD0B62BBF.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
4947,5449000054227,1000.0,Coca-Cola,"Refrigerante com Gás Cola, 1L",,1.35,1.35,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3281D4D34500D6DBD7784B7DAA420E55.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
32408,5601050034967,600.0,Danone,"Danacol aveia, embalagem de 6 x 100g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE656F263120C59B9C0953B21D516B7.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
35301,8001090766885,,Evax,Pensos diários salvaslip flexi & fresh normal,28 unidades,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4746D822A5BCD6895EE9D55D697B5D57.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
50406,8445290490155,600.0,Cerelac,"Papa Infantil para Preparar com Leite +6M, 600g",,4.29,7.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C95864141AF0280BDB80A795593394EA.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
16983,8712100735455,540.0,Olá,"Gelado cornetto morango, embalagem de 6 x 90 ml",,3.29,6.09,540,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F864C0CC873250BC9D1DC90A794E1882.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF03523E6B925BE3441B0A34A996CA2B.jpg,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
477,3010470159051,2000.0,Friskies,"Ração para gato adulto com coelho, frango e legumes",Embalagem de 2kg,6.74,3.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DEEDCA72B128992156D55C0C8DE0876.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
9113,5601989001566,750.0,Monte Velho,"Vinho branco alentejo, garrafa de 750 ml",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7B25882D8E40FB5175386823B109A8BD.jpg,,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.8725,13,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
36727,5604260294404,1000.0,PorSi,Arroz basmati,Embalagem de 1 kg,1.99,1.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4276C26236BCA3B8F3F002AEBC9361B0.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12909,2892005000000,250.0,Fruta,Laranja Económica,1 un = 250 gr  (aprox.),0.24,0.95,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67E13FD34B36BCD37E12339EB836171D.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
